Title,Author,Book challenge,Created,Finish Date,Genre,Rating,Start Date,Status
Think and Grow Rich," Napoleon Hill",Yes,"December 22, 2024 8:03 PM",,,,,To read
Groundwork: Get Better at Making Better Products,Vidya Dinamani,Yes,"December 22, 2024 8:03 PM",,,,,Reading
Can’t Hurt Me: Master your Mind and Defy the Odds,David Goggins,Yes,"December 22, 2024 8:03 PM",,,,,Finished
The 100$ Start Up,Chris Guillebeau,Yes,"December 22, 2024 8:03 PM",,,,,Finished
Atomic Habits,James Clear,Yes,"December 22, 2024 8:03 PM",,,,,Finished
Principles,Ray Dalio,Yes,"December 22, 2024 8:03 PM",,,,,Finished
Designing Your Life,Bill Burnett and Dave Evans,Yes,"December 22, 2024 8:07 PM",,,,,Reading
The Goal,E liyahu M. Goldratt,Yes,"December 22, 2024 8:08 PM",,,,,Finished
The 4-Hour Work Week,Timothy Ferriss,Yes,"December 22, 2024 8:09 PM",,,,,Finished
The Millionaire Next Door,Thomas J. Stanley,Yes,"December 22, 2024 8:13 PM",,,,,To read
The Science of Rapid Skill Acquisition,Peter Hollins,Yes,"December 22, 2024 8:14 PM",,,,,Finished
"The Power of your Subconscious Mind ",Joseph Murphy,Yes,"December 22, 2024 8:16 PM",,,,,Reading
Being The Person Your Dog Thinks You Are,Jim Davies,Yes,"December 22, 2024 8:17 PM",,,,,Finished
Never Split the Difference,Christopher Voss,Yes,"December 22, 2024 8:17 PM",,,,,Finished
The 7 Habits of Highly Effective People,Stephen Covey,Yes,"December 22, 2024 8:18 PM",,,,,To read
How to Win Friends and Influence people,Dale Carnegie,Yes,"December 22, 2024 8:18 PM",,,,,Finished
The subtle art of not giving a fuck,Mark Manson,Yes,"December 22, 2024 8:18 PM",,,,,To read
Rich Dad Poor Dad,Robert Kiyosaki,Yes,"December 22, 2024 8:21 PM",,,,,Finished
"Sorry I’m Late, I Didn’t want to come: One introvert’s Year of Saying Yes",Jessica Pan,Yes,"December 22, 2024 8:22 PM",,,,,Finished
The Wealthy Barber: The Common Sense Guide to Successful Financial Planning,David Chilton,Yes,"December 22, 2024 8:23 PM",,,,,Reading
The psychology of Money,Morgan Housel,Yes,"December 22, 2024 8:25 PM",,,,,To read
Designing Data Intensive Applications,Martin Kleppmann,Yes,"December 22, 2024 8:29 PM",,,,,To read
The Magic of Thinking Big,David J. Schwartz,Yes,"December 22, 2024 8:36 PM",,,,,To read
Rich20Something,Daniel DiPiazza,Yes,"December 22, 2024 8:36 PM",,,,,To read
Shoe Dog,Phil Knight,Yes,"December 22, 2024 8:37 PM",,,,,To read
Linchpin,Seth Godin,Yes,"December 22, 2024 8:37 PM",,,,,To read
"The 10x Rule ",Grant Cardone,Yes,"December 22, 2024 8:37 PM",,,,,To read
The Millionaire Fastlane,M J DeMarco,Yes,"December 22, 2024 8:38 PM",,,,,To read
Zero to One - Founder only,Peter Thiel,Yes,"December 22, 2024 8:39 PM",,,,,To read
This is Marketing,Seth Godin,Yes,"December 22, 2024 8:40 PM",,,,,To read
Purple Cow,Seth Godin,Yes,"December 22, 2024 8:41 PM",,,,,To read
Outliers,Malcolm Gladwell,Yes,"December 22, 2024 8:41 PM",,,,,To read
The Alchemist,Paulo Coelho,Yes,"December 22, 2024 8:42 PM",,,,,To read
Deep Work,Cal Newport,Yes,"December 22, 2024 8:42 PM",,,,,To read
The Psychology of Money,Morgan Housel,Yes,"December 22, 2024 8:42 PM",,,,,To read
The Ride of a Lifetime,Robert Iger,Yes,"December 22, 2024 8:43 PM",,,,,To read
Steve Jobs,Isaacson Wlater,Yes,"December 22, 2024 8:44 PM",,,,,To read
Operating Systems: Three Easy Pieces,Andrea Arpaci-Dusseau and Remzi Arpaci-Dusseau,Yes,"December 27, 2024 1:37 PM",,,,,Reading
