Title,Author,Rating,Cover,Status
Think and Grow Rich,Napoleon Hill,,,to read
Groundwork: Get Better at Making Better Products,Vidya Dinamani,,,dropped
Can’t Hurt Me: Master your Mind and Defy the Odds,David Goggins,,,finished
The 100$ Start Up,Chris Guillebeau,,,finished
Atomic Habits,James Clear,,,finished
Principles,Ray Dalio,,,finished
Designing Your Life,Bill Burnett and Dave Evans,,,dropped
The Goal,Eliyahu M. Goldratt,,,finished
The 4-Hour Work Week,Timothy Ferriss,,,finished
The Millionaire Next Door,Thomas J. Stanley,,,to read
The Science of Rapid Skill Acquisition,Peter Hollins,,,finished
The Power of your Subconscious Mind,Joseph Murphy,,,dropped
Being The Person Your Dog Thinks You Are,Jim Davies,,,finished
Never Split the Difference,Christopher Voss and Tahl Raz,,"https://m.media-amazon.com/images/I/61cxW8Axu1L._UF1000,1000_QL80_.jpg",finished
The 7 Habits of Highly Effective People,Stephen Covey,,,to read
How to Win Friends and Influence people,Dale Carnegie,,,finished
The subtle art of not giving a fuck,Mark Manson,,,to read
Rich Dad Poor Dad,Robert Kiyosaki,,,finished
Sorry I’m Late, I Didn’t want to come: One introvert’s Year of Saying Yes,Jessica Pan,,,finished
The Wealthy Barber: The Common Sense Guide to Successful Financial Planning,David Chilton,,,finished
The psychology of Money,Morgan Housel,,,to read
Designing Data Intensive Applications,Martin Kleppmann,,,to read
The Magic of Thinking Big,David J. Schwartz,,,to read
Rich20Something,Daniel DiPiazza,,,to read
Shoe Dog,Phil Knight,,,to read
Linchpin,Seth Godin,,,to read
"The 10x Rule ",Grant Cardone,,,to read
The Millionaire Fastlane,M J DeMarco,,,to read
Zero to One - Founder only,Peter Thiel,,,to read
This is Marketing,Seth Godin,,,to read
Purple Cow,Seth Godin,,,to read
Outliers,Malcolm Gleadwell,,,to read
The Alchemist,Paulo Coelho,,,to read
Deep Work,Cal Newport,,,to read
The Psychology of Money,Morgan Housel,,,reading
The Ride of a Lifetime,Robert Iger,,,to read
Steve Jobs,Isaacson Wlater,,,to read
Operating Systems: Three Easy Pieces,"Andrea Arpaci-Dusseau and Remzi Arpaci-Dusseau",,,dropped
The Art of Doing Science and Engineering,"Richard Hamming",,,dropped
The Wealth Ladder,Nick Maggiulli,,,finished
Inner Game of Tennis,W Timothy Gallwey,,,finished
